Sl. No.,Branch,Sem,Code,Register Number
1,AI&DS,3,U23MA204,722825243003
2,AI&DS,3,U23CS403,722825243003
3,AI&DS,3,U23CS404,722825243003
4,AI&DS,3,U23EC382,722825243003
5,AI&DS,3,U23CS491,722825243003
6,AI&DS,3,U23AD491,722825243003
7,AI&DS,3,U23MA204,722825243035
8,AI&DS,3,U23CS403,722825243035
9,AI&DS,3,U23CS404,722825243035
10,AI&DS,3,U23EC382,722825243035
11,AI&DS,3,U23CS491,722825243035
12,AI&DS,3,U23AD491,722825243035
13,AI&DS,3,U23MA204,722825243159
14,AI&DS,3,U23CS403,722825243159
15,AI&DS,3,U23CS404,722825243159
16,AI&DS,3,U23EC382,722825243159
17,AI&DS,3,U23CS491,722825243159
18,AI&DS,3,U23AD491,722825243159
19,AI&DS,3,U23MA204,722825243220
20,AI&DS,3,U23CS403,722825243220
21,AI&DS,3,U23CS404,722825243220
22,AI&DS,3,U23EC382,722825243220
23,AI&DS,3,U23CS491,722825243220
24,AI&DS,3,U23AD491,722825243220
25,AI&DS,7,U23CB103,722823243058
26,AI&DS,7,U23CB104,722823243058
27,AI&DS,7,U23AM586,722823243058
28,AI&DS,7,U23OME06,722823243058
29,AI&DS,7,U23AD511,722823243058
30,AI&DS,3,U23MA204,722825243001
31,AI&DS,3,U23CS403,722825243001
32,AI&DS,3,U23CS404,722825243001
33,AI&DS,3,U23EC382,722825243001
34,AI&DS,3,U23CS491,722825243001
35,AI&DS,3,U23AD491,722825243001
36,AI&DS,3,U23MA204,722825243116
37,AI&DS,3,U23CS403,722825243116
38,AI&DS,3,U23CS404,722825243116
39,AI&DS,3,U23EC382,722825243116
40,AI&DS,3,U23CS491,722825243116
41,AI&DS,3,U23AD491,722825243116
42,AI&DS,7,U23CB103,722823243112
43,AI&DS,7,U23CB104,722823243112
44,AI&DS,7,U23AM586,722823243112
45,AI&DS,7,U23OME06,722823243112
46,AI&DS,7,U23AD511,722823243112
47,AI&DS,7,U23CB103,722823243141
48,AI&DS,7,U23CB104,722823243141
49,AI&DS,7,U23AM586,722823243141
50,AI&DS,7,U23OME06,722823243141
51,AI&DS,7,U23AD511,722823243141
52,AI&DS,5,U23AD401,722824243007
53,AI&DS,5,U23AD484,722824243007
54,AI&DS,5,U23IT484,722824243007
55,AI&DS,5,U23AM491,722824243007
56,AI&DS,5,U23CB593,722824243007
57,AI&DS,5,U23EC384,722824243007
58,AI&DS,5,U23AD401,722824243015
59,AI&DS,5,U23AD484,722824243015
60,AI&DS,5,U23IT484,722824243015
61,AI&DS,5,U23AM491,722824243015
62,AI&DS,5,U23CB593,722824243015
63,AI&DS,5,U23EC384,722824243015
64,AI&DS,5,U23AD401,722824243134
65,AI&DS,5,U23AD484,722824243134
66,AI&DS,5,U23IT484,722824243134
67,AI&DS,5,U23AM491,722824243134
68,AI&DS,5,U23CB593,722824243134
69,AI&DS,5,U23EC384,722824243134
70,AI&DS,5,U23AD401,722824243302
71,AI&DS,5,U23AD484,722824243302
72,AI&DS,5,U23IT484,722824243302
73,AI&DS,5,U23AM491,722824243302
74,AI&DS,5,U23CB593,722824243302
75,AI&DS,5,U23EC384,722824243302
76,AI&DS,5,U23AD401,722824243309
77,AI&DS,5,U23AD484,722824243309
78,AI&DS,5,U23IT484,722824243309
79,AI&DS,5,U23AM491,722824243309
80,AI&DS,5,U23CB593,722824243309
81,AI&DS,5,U23EC384,722824243309
82,AI&DS,5,U23AD401,722824243246
83,AI&DS,5,U23AD484,722824243246
84,AI&DS,5,U23IT484,722824243246
85,AI&DS,5,U23AM491,722824243246
86,AI&DS,5,U23CB593,722824243246
87,AI&DS,5,U23EC384,722824243246
88,AI&DS,7,U23CB103,722823243090
89,AI&DS,7,U23CB104,722823243090
90,AI&DS,7,U23AM586,722823243090
91,AI&DS,7,U23OME06,722823243090
92,AI&DS,7,U23AD511,722823243090
93,AI&DS,5,U23AD401,722824243311
94,AI&DS,5,U23AD484,722824243311
95,AI&DS,5,U23IT484,722824243311
96,AI&DS,5,U23AM491,722824243311
97,AI&DS,5,U23CB593,722824243311
98,AI&DS,5,U23EC384,722824243311
99,AI&DS,3,U23MA204,722825243004
100,AI&DS,3,U23CS403,722825243004
101,AI&DS,3,U23CS404,722825243004
102,AI&DS,3,U23EC382,722825243004
103,AI&DS,3,U23CS491,722825243004
104,AI&DS,3,U23AD491,722825243004
105,AI&DS,3,U23MA204,722825243056
106,AI&DS,3,U23CS403,722825243056
107,AI&DS,3,U23CS404,722825243056
108,AI&DS,3,U23EC382,722825243056
109,AI&DS,3,U23CS491,722825243056
110,AI&DS,3,U23AD491,722825243056
111,AI&DS,3,U23MA204,722825243243
112,AI&DS,3,U23CS403,722825243243
113,AI&DS,3,U23CS404,722825243243
114,AI&DS,3,U23EC382,722825243243
115,AI&DS,3,U23CS491,722825243243
116,AI&DS,3,U23AD491,722825243243
117,AI&DS,3,U23MA204,722825243023
118,AI&DS,3,U23CS403,722825243023
119,AI&DS,3,U23CS404,722825243023
120,AI&DS,3,U23EC382,722825243023
121,AI&DS,3,U23CS491,722825243023
122,AI&DS,3,U23AD491,722825243023
123,AI&DS,3,U23MA204,722825243103
124,AI&DS,3,U23CS403,722825243103
125,AI&DS,3,U23CS404,722825243103
126,AI&DS,3,U23EC382,722825243103
127,AI&DS,3,U23CS491,722825243103
128,AI&DS,3,U23AD491,722825243103
129,AI&DS,3,U23MA204,722825243109
130,AI&DS,3,U23CS403,722825243109
131,AI&DS,3,U23CS404,722825243109
132,AI&DS,3,U23EC382,722825243109
133,AI&DS,3,U23CS491,722825243109
134,AI&DS,3,U23AD491,722825243109
135,AI&DS,3,U23MA204,722825243234
136,AI&DS,3,U23CS403,722825243234
137,AI&DS,3,U23CS404,722825243234
138,AI&DS,3,U23EC382,722825243234
139,AI&DS,3,U23CS491,722825243234
140,AI&DS,3,U23AD491,722825243234
141,AI&DS,7,U23CB103,722823243032
142,AI&DS,7,U23CB104,722823243032
143,AI&DS,7,U23AM586,722823243032
144,AI&DS,7,U23OME06,722823243032
145,AI&DS,7,U23AD511,722823243032
146,AI&DS,7,U23CB103,722823243110
147,AI&DS,7,U23CB104,722823243110
148,AI&DS,7,U23AM586,722823243110
149,AI&DS,7,U23OME06,722823243110
150,AI&DS,7,U23AD511,722823243110
151,AI&DS,7,U23CB103,722823243106
152,AI&DS,7,U23CB104,722823243106
153,AI&DS,7,U23AM586,722823243106
154,AI&DS,7,U23OME06,722823243106
155,AI&DS,7,U23AD511,722823243106
156,AI&DS,5,U23AD401,722824243187
157,AI&DS,5,U23AD484,722824243187
158,AI&DS,5,U23IT484,722824243187
159,AI&DS,5,U23AM491,722824243187
160,AI&DS,5,U23CB593,722824243187
161,AI&DS,5,U23EC384,722824243187
162,AI&DS,5,U23AD401,722824243067
163,AI&DS,5,U23AD484,722824243067
164,AI&DS,5,U23IT484,722824243067
165,AI&DS,5,U23AM491,722824243067
166,AI&DS,5,U23CB593,722824243067
167,AI&DS,5,U23EC384,722824243067
168,AI&DS,3,U23MA204,722825243011
169,AI&DS,3,U23CS403,722825243011
170,AI&DS,3,U23CS404,722825243011
171,AI&DS,3,U23EC382,722825243011
172,AI&DS,3,U23CS491,722825243011
173,AI&DS,3,U23AD491,722825243011
174,AI&DS,3,U23MA204,722825243029
175,AI&DS,3,U23CS403,722825243029
176,AI&DS,3,U23CS404,722825243029
177,AI&DS,3,U23EC382,722825243029
178,AI&DS,3,U23CS491,722825243029
179,AI&DS,3,U23AD491,722825243029
180,AI&DS,3,U23MA204,722825243041
181,AI&DS,3,U23CS403,722825243041
182,AI&DS,3,U23CS404,722825243041
183,AI&DS,3,U23EC382,722825243041
184,AI&DS,3,U23CS491,722825243041
185,AI&DS,3,U23AD491,722825243041
186,AI&DS,3,U23MA204,722825243059
187,AI&DS,3,U23CS403,722825243059
188,AI&DS,3,U23CS404,722825243059
189,AI&DS,3,U23EC382,722825243059
190,AI&DS,3,U23CS491,722825243059
191,AI&DS,3,U23AD491,722825243059
192,AI&DS,3,U23MA204,722825243064
193,AI&DS,3,U23CS403,722825243064
